Reference	Description	Manufacturer	ManufacturerPartNumber	Supplier	SupplierPartNumber	Qty
C9, C13, C15, C16	CAP CER 22PF 50V C0G/NP0 0805	AVX Corporation	08055A220JAT2A	Digi-Key	478-1308-2-ND	4
C59, C80, C88	CAP CER 0.022UF 50V NP0 0805	TDK Corporation	CGA4J2NP01H223J125AA	Digi-Key	445-12628-2-ND	3
DS1, DS2	LED GREEN CLEAR 2PLCC SMD 2MA	Dialight	597-3308-202F	Digi-Key		2
DS35, DS36, DS37, DS38	LED GREEN 571 NM CLEAR SMD 2V 0805 (2012)	Lite-On Inc	LTST-C171KGKT	Digi-Key	160-1426-1-ND	4
FP1	FRONT PANEL 4U EURORACK EXTRACTION HANDLE PCB BRACKET	Schroff	FP_4U			1
J1	CONN DIN PLUG 96POS PCB RA GOLD	TE Connectivity AMP Connectors	5536437-4	Digi-Key	A113960-ND	1
JP1	CONN HEADER VERT 2POS 2.54MM	Wurth Electronics Inc.	61300211121	Digi-Key	732-5315-ND	1
K1, K2, K3, K4, K5, K6, K7, K8, K9, K10, K11, K12, K13, K14, K15, K16, K17, K18, K19, K20, K21, K22, K23, K24, K25, K26, K27, K28, K29, K30, K31, K32, K33, K34	RELAY TELECOM DPDT 1A 24VDC	Omron Electronics Inc-EMC Div	G6K-2G-Y-TR DC24	Digi-Key	Z5422TR-ND	34
LP1, LP2	5MM PANEL MOUNT RIGHT ANGLE CONV 7.37 mm	Dialight	5151049F			2
P1, P2	CONN SOCKET 34POS 0.1 GOLD PCB LOW PROFILE	Samtec Inc.	SLW-117-01-L-D	Samtec Inc.	SLW-117-01-L-D	2
PROG1	CONN HDR 6POS 0.1 GOLD PCB	Samtec Inc.	SSW-106-02-G-S	Samtec Inc.	SSW-106-02-G-S	1
PWR1	DC DC CONVERTER 3.3V 2.3W	Traco Power	TDN 3-2410WISM	Digi-Key	TDN3-2410WISM-ND	1
R7, R8, R9, R10, R15, R16, R17, R18, R157, R158, R159, R160, R161, R162, R163, R164, R165, R166, R167, R168, R169, R170, R237, R238, R239, R240, R241, R242, R243, R244, R245, R246, R247, R248, R249, R250, R251, R252, R273, R274, R275, R276, R280, R281	RES SMD 432K OHM 0.1% 1/10W 0603	Yageo	RT0603BRD07432KL	Digi-Key	RT0603BRD07432KL-ND	44
R285	RES SMD 20K OHM 5% 1/10W 0603	Yageo	SR0603JR-0720KL	Digi-Key	SR0603JR-0720KL-ND	1
SW1	SWITCH TACTILE SPST-NO 50MA 12V	E-Switch	TL3305AF260QG	Digi-Key	EG5353TR-ND	1
U6, U7, U8, U9, U10, U11, U12, U13, U18, U19, U20, U21, U22, U26	OPTOISOLTR 2.5KV 4CH TRANS 16-SO	Toshiba Semiconductor and Storage	TLP290-4(TPE	Digi-Key	TLP290-4(TPECT-ND	14
U24, U25	IC CURR SENSE 1 CIRCUIT SOT23-5	Texas Instruments	INA180A2IDBVR	Digi-Key	296-47653-2-ND	2
